ResourceType     Locations    Name                      Zones    Restrictions
virtualMachines  eastus       Standard_D8ls_v7          1,2,3    None
virtualMachines  eastus       Standard_D8s_v7           1,2,3    None
virtualMachines  eastus       Standard_D96ds_v7         1,2,3    None
virtualMachines  eastus       Standard_D96lds_v7        1,2,3    None
virtualMachines  eastus       Standard_D96ls_v7         1,2,3    None
virtualMachines  eastus       Standard_D96s_v7          1,2,3    None
virtualMachines  eastus       Standard_DC16ads_cc_v5    1,2      None
virtualMachines  eastus       Standard_DC16ads_v5       1,2      None
virtualMachines  eastus       Standard_DC16ads_v6       1,2,3    None
virtualMachines  eastus       Standard_DC16as_cc_v5     1,2      None
virtualMachines  eastus       Standard_DC16as_v5        1,2      None
virtualMachines  eastus       Standard_DC16as_v6        1,2,3    None
virtualMachines  eastus       Standard_DC16ds_v3        2        None
virtualMachines  eastus       Standard_DC16s_v3         2        None
virtualMachines  eastus       Standard_DC1ds_v3         2        None
virtualMachines  eastus       Standard_DC1s_v3          2        None
virtualMachines  eastus       Standard_DC24ds_v3        2        None
virtualMachines  eastus       Standard_DC24s_v3         2        None
virtualMachines  eastus       Standard_DC2ads_v5        1,2      None
virtualMachines  eastus       Standard_DC2ads_v6        1,2,3    None
virtualMachines  eastus       Standard_DC2as_v5         1,2      None
virtualMachines  eastus       Standard_DC2as_v6         1,2,3    None
virtualMachines  eastus       Standard_DC2ds_v3         2        None
virtualMachines  eastus       Standard_DC2s_v3          2        None
virtualMachines  eastus       Standard_DC32ads_cc_v5    1,2      None
virtualMachines  eastus       Standard_DC32ads_v5       1,2      None
virtualMachines  eastus       Standard_DC32ads_v6       1,2,3    None
virtualMachines  eastus       Standard_DC32as_cc_v5     1,2      None
virtualMachines  eastus       Standard_DC32as_v5        1,2      None
virtualMachines  eastus       Standard_DC32as_v6        1,2,3    None
virtualMachines  eastus       Standard_DC32ds_v3        2        None
virtualMachines  eastus       Standard_DC32s_v3         2        None
virtualMachines  eastus       Standard_DC48ads_cc_v5    1,2      None
virtualMachines  eastus       Standard_DC48ads_v5       1,2      None
virtualMachines  eastus       Standard_DC48ads_v6       1,2,3    None
virtualMachines  eastus       Standard_DC48as_cc_v5     1,2      None
virtualMachines  eastus       Standard_DC48as_v5        1,2      None
virtualMachines  eastus       Standard_DC48as_v6        1,2,3    None
virtualMachines  eastus       Standard_DC48ds_v3        2        None
virtualMachines  eastus       Standard_DC48s_v3         2        None
virtualMachines  eastus       Standard_DC4ads_cc_v5     1,2      None
virtualMachines  eastus       Standard_DC4ads_v5        1,2      None
virtualMachines  eastus       Standard_DC4ads_v6        1,2,3    None
virtualMachines  eastus       Standard_DC4as_cc_v5      1,2      None
virtualMachines  eastus       Standard_DC4as_v5         1,2      None
virtualMachines  eastus       Standard_DC4as_v6         1,2,3    None
virtualMachines  eastus       Standard_DC4ds_v3         2        None
virtualMachines  eastus       Standard_DC4s_v3          2        None
virtualMachines  eastus       Standard_DC64ads_cc_v5    1,2      None
virtualMachines  eastus       Standard_DC64ads_v5       1,2      None
virtualMachines  eastus       Standard_DC64ads_v6       1,2,3    None
virtualMachines  eastus       Standard_DC64as_cc_v5     1,2      None
virtualMachines  eastus       Standard_DC64as_v5        1,2      None
virtualMachines  eastus       Standard_DC64as_v6        1,2,3    None
virtualMachines  eastus       Standard_DC8ads_cc_v5     1,2      None
virtualMachines  eastus       Standard_DC8ads_v5        1,2      None
virtualMachines  eastus       Standard_DC8ads_v6        1,2,3    None
virtualMachines  eastus       Standard_DC8as_cc_v5      1,2      None
virtualMachines  eastus       Standard_DC8as_v5         1,2      None
virtualMachines  eastus       Standard_DC8as_v6         1,2,3    None
virtualMachines  eastus       Standard_DC8ds_v3         2        None
virtualMachines  eastus       Standard_DC8s_v3          2        None
virtualMachines  eastus       Standard_DC96ads_cc_v5    1,2      None
virtualMachines  eastus       Standard_DC96ads_v5       1,2      None
virtualMachines  eastus       Standard_DC96ads_v6       1,2,3    None
virtualMachines  eastus       Standard_DC96as_cc_v5     1,2      None
virtualMachines  eastus       Standard_DC96as_v5        1,2      None
virtualMachines  eastus       Standard_DC96as_v6        1,2,3    None
virtualMachines  eastus       Standard_E128ds_v7        1,2,3    None
virtualMachines  eastus       Standard_E128s_v7         1,2,3    None
virtualMachines  eastus       Standard_E16ds_v7         1,2,3    None
virtualMachines  eastus       Standard_E16s_v7          1,2,3    None
virtualMachines  eastus       Standard_E192ds_v7        1,2,3    None
virtualMachines  eastus       Standard_E192s_v7         1,2,3    None
virtualMachines  eastus       Standard_E20ds_v7         1,2,3    None
virtualMachines  eastus       Standard_E20s_v7          1,2,3    None
virtualMachines  eastus       Standard_E2ds_v7          1,2,3    None
virtualMachines  eastus       Standard_E2s_v7           1,2,3    None
virtualMachines  eastus       Standard_E32ds_v7         1,2,3    None
virtualMachines  eastus       Standard_E32s_v7          1,2,3    None
virtualMachines  eastus       Standard_E48ds_v7         1,2,3    None
virtualMachines  eastus       Standard_E48s_v7          1,2,3    None
virtualMachines  eastus       Standard_E4ds_v7          1,2,3    None
virtualMachines  eastus       Standard_E4s_v7           1,2,3    None
virtualMachines  eastus       Standard_E64ds_v7         1,2,3    None
virtualMachines  eastus       Standard_E64s_v7          1,2,3    None
virtualMachines  eastus       Standard_E8ds_v7          1,2,3    None
virtualMachines  eastus       Standard_E8s_v7           1,2,3    None
virtualMachines  eastus       Standard_E96ds_v7         1,2,3    None
virtualMachines  eastus       Standard_E96s_v7          1,2,3    None
virtualMachines  eastus       Standard_EC16ads_cc_v5    1,2      None
virtualMachines  eastus       Standard_EC16ads_v5       1,2      None
virtualMachines  eastus       Standard_EC16ads_v6       1,2,3    None
virtualMachines  eastus       Standard_EC16as_cc_v5     1,2      None
virtualMachines  eastus       Standard_EC16as_v5        1,2      None
virtualMachines  eastus       Standard_EC16as_v6        1,2,3    None
virtualMachines  eastus       Standard_EC20ads_cc_v5    1,2      None
virtualMachines  eastus       Standard_EC20ads_v5       1,2      None
virtualMachines  eastus       Standard_EC20as_cc_v5     1,2      None
virtualMachines  eastus       Standard_EC20as_v5        1,2      None
virtualMachines  eastus       Standard_EC2ads_v5        1,2      None
virtualMachines  eastus       Standard_EC2ads_v6        1,2,3    None
virtualMachines  eastus       Standard_EC2as_v5         1,2      None
virtualMachines  eastus       Standard_EC2as_v6         1,2,3    None
virtualMachines  eastus       Standard_EC32ads_cc_v5    1,2      None
virtualMachines  eastus       Standard_EC32ads_v5       1,2      None
virtualMachines  eastus       Standard_EC32ads_v6       1,2,3    None
virtualMachines  eastus       Standard_EC32as_cc_v5     1,2      None
virtualMachines  eastus       Standard_EC32as_v5        1,2      None
virtualMachines  eastus       Standard_EC32as_v6        1,2,3    None
virtualMachines  eastus       Standard_EC48ads_cc_v5    1,2      None
virtualMachines  eastus       Standard_EC48ads_v5       1,2      None
virtualMachines  eastus       Standard_EC48ads_v6       1,2,3    None
virtualMachines  eastus       Standard_EC48as_cc_v5     1,2      None
virtualMachines  eastus       Standard_EC48as_v5        1,2      None
virtualMachines  eastus       Standard_EC48as_v6        1,2,3    None
virtualMachines  eastus       Standard_EC4ads_cc_v5     1,2      None
virtualMachines  eastus       Standard_EC4ads_v5        1,2      None
virtualMachines  eastus       Standard_EC4ads_v6        1,2,3    None
virtualMachines  eastus       Standard_EC4as_cc_v5      1,2      None
virtualMachines  eastus       Standard_EC4as_v5         1,2      None
virtualMachines  eastus       Standard_EC4as_v6         1,2,3    None
virtualMachines  eastus       Standard_EC64ads_cc_v5    1,2      None
virtualMachines  eastus       Standard_EC64ads_v5       1,2      None
virtualMachines  eastus       Standard_EC64ads_v6       1,2,3    None
virtualMachines  eastus       Standard_EC64as_cc_v5     1,2      None
virtualMachines  eastus       Standard_EC64as_v5        1,2      None
virtualMachines  eastus       Standard_EC64as_v6        1,2,3    None
virtualMachines  eastus       Standard_EC8ads_cc_v5     1,2      None
virtualMachines  eastus       Standard_EC8ads_v5        1,2      None
virtualMachines  eastus       Standard_EC8ads_v6        1,2,3    None
virtualMachines  eastus       Standard_EC8as_cc_v5      1,2      None
virtualMachines  eastus       Standard_EC8as_v5         1,2      None
virtualMachines  eastus       Standard_EC8as_v6         1,2,3    None
virtualMachines  eastus       Standard_EC96ads_cc_v5    1,2      None
virtualMachines  eastus       Standard_EC96ads_v5       1,2      None
virtualMachines  eastus       Standard_EC96ads_v6       1,2,3    None
virtualMachines  eastus       Standard_EC96as_cc_v5     1,2      None
virtualMachines  eastus       Standard_EC96as_v5        1,2      None
virtualMachines  eastus       Standard_EC96as_v6        1,2,3    None
virtualMachines  eastus       Standard_EC96iads_v5      1,2      None
virtualMachines  eastus       Standard_EC96ias_v5       1,2      None
virtualMachines  eastus       Standard_FX12-6mds_v2     1,2,3    None
virtualMachines  eastus       Standard_FX12-6ms_v2      1,2,3    None
virtualMachines  eastus       Standard_FX12mds          2        None
virtualMachines  eastus       Standard_FX12mds_v2       1,2,3    None
virtualMachines  eastus       Standard_FX12ms_v2        1,2,3    None
virtualMachines  eastus       Standard_FX16-4mds_v2     1,2,3    None
virtualMachines  eastus       Standard_FX16-4ms_v2      1,2,3    None
virtualMachines  eastus       Standard_FX16-8mds_v2     1,2,3    None
virtualMachines  eastus       Standard_FX16-8ms_v2      1,2,3    None
virtualMachines  eastus       Standard_FX16mds_v2       1,2,3    None
virtualMachines  eastus       Standard_FX16ms_v2        1,2,3    None
virtualMachines  eastus       Standard_FX24-12mds_v2    1,2,3    None
virtualMachines  eastus       Standard_FX24-12ms_v2     1,2,3    None
virtualMachines  eastus       Standard_FX24-6mds_v2     1,2,3    None
virtualMachines  eastus       Standard_FX24-6ms_v2      1,2,3    None
virtualMachines  eastus       Standard_FX24mds          2        None
virtualMachines  eastus       Standard_FX24mds_v2       1,2,3    None
virtualMachines  eastus       Standard_FX24ms_v2        1,2,3    None
virtualMachines  eastus       Standard_FX2mds_v2        1,2,3    None
virtualMachines  eastus       Standard_FX2ms_v2         1,2,3    None
virtualMachines  eastus       Standard_FX32-16mds_v2    1,2,3    None
virtualMachines  eastus       Standard_FX32-16ms_v2     1,2,3    None
virtualMachines  eastus       Standard_FX32-8mds_v2     1,2,3    None
virtualMachines  eastus       Standard_FX32-8ms_v2      1,2,3    None
virtualMachines  eastus       Standard_FX32mds_v2       1,2,3    None
virtualMachines  eastus       Standard_FX32ms_v2        1,2,3    None
virtualMachines  eastus       Standard_FX36mds          2        None
virtualMachines  eastus       Standard_FX4-2mds_v2      1,2,3    None
virtualMachines  eastus       Standard_FX4-2ms_v2       1,2,3    None
virtualMachines  eastus       Standard_FX48-12mds_v2    1,2,3    None
virtualMachines  eastus       Standard_FX48-12ms_v2     1,2,3    None
virtualMachines  eastus       Standard_FX48-24mds_v2    1,2,3    None
virtualMachines  eastus       Standard_FX48-24ms_v2     1,2,3    None
virtualMachines  eastus       Standard_FX48mds          2        None
virtualMachines  eastus       Standard_FX48mds_v2       1,2,3    None
virtualMachines  eastus       Standard_FX48ms_v2        1,2,3    None
virtualMachines  eastus       Standard_FX4mds           2        None
virtualMachines  eastus       Standard_FX4mds_v2        1,2,3    None
virtualMachines  eastus       Standard_FX4ms_v2         1,2,3    None
virtualMachines  eastus       Standard_FX64-16mds_v2    1,2,3    None
virtualMachines  eastus       Standard_FX64-16ms_v2     1,2,3    None
virtualMachines  eastus       Standard_FX64-32mds_v2    1,2,3    None
virtualMachines  eastus       Standard_FX64-32ms_v2     1,2,3    None
virtualMachines  eastus       Standard_FX64mds_v2       1,2,3    None
virtualMachines  eastus       Standard_FX64ms_v2        1,2,3    None
virtualMachines  eastus       Standard_FX8-2mds_v2      1,2,3    None
virtualMachines  eastus       Standard_FX8-2ms_v2       1,2,3    None
virtualMachines  eastus       Standard_FX8-4mds_v2      1,2,3    None
virtualMachines  eastus       Standard_FX8-4ms_v2       1,2,3    None
virtualMachines  eastus       Standard_FX8mds_v2        1,2,3    None
virtualMachines  eastus       Standard_FX8ms_v2         1,2,3    None
virtualMachines  eastus       Standard_FX96-24mds_v2    1,2,3    None
virtualMachines  eastus       Standard_FX96-24ms_v2     1,2,3    None
virtualMachines  eastus       Standard_FX96-48mds_v2    1,2,3    None
virtualMachines  eastus       Standard_FX96-48ms_v2     1,2,3    None
virtualMachines  eastus       Standard_FX96mds_v2       1,2,3    None
virtualMachines  eastus       Standard_FX96ms_v2        1,2,3    None
virtualMachines  eastus       Standard_HB120-16rs_v2    2,3      None
virtualMachines  eastus       Standard_HB120-16rs_v3    2,3      None
virtualMachines  eastus       Standard_HB120-32rs_v2    2,3      None
virtualMachines  eastus       Standard_HB120-32rs_v3    2,3      None
virtualMachines  eastus       Standard_HB120-64rs_v2    2,3      None
virtualMachines  eastus       Standard_HB120-64rs_v3    2,3      None
virtualMachines  eastus       Standard_HB120-96rs_v2    2,3      None
virtualMachines  eastus       Standard_HB120-96rs_v3    2,3      None
virtualMachines  eastus       Standard_HB120rs_v2       2,3      None
virtualMachines  eastus       Standard_HB120rs_v3       2,3      None
virtualMachines  eastus       Standard_HB176-144rs_v4   1,2,3    None
virtualMachines  eastus       Standard_HB176-24rs_v4    1,2,3    None
virtualMachines  eastus       Standard_HB176-48rs_v4    1,2,3    None
virtualMachines  eastus       Standard_HB176-96rs_v4    1,2,3    None
virtualMachines  eastus       Standard_HB176rs_v4       1,2,3    None
virtualMachines  eastus       Standard_HC44-16rs        3        NotAvailableForSubscription, type: Zone, locations: eastus, zones: 1,2,3
virtualMachines  eastus       Standard_HC44-32rs        3        NotAvailableForSubscription, type: Zone, locations: eastus, zones: 1,2,3
virtualMachines  eastus       Standard_HC44rs           3        NotAvailableForSubscription, type: Zone, locations: eastus, zones: 1,2,3
virtualMachines  eastus       Standard_HX176-144rs      1,2,3    None
virtualMachines  eastus       Standard_HX176-24rs       1,2,3    None
virtualMachines  eastus       Standard_HX176-48rs       1,2,3    None
virtualMachines  eastus       Standard_HX176-96rs       1,2,3    None
virtualMachines  eastus       Standard_HX176rs          1,2,3    None
virtualMachines  eastus       Standard_L12aos_v4        1,2,3    None
virtualMachines  eastus       Standard_L16aos_v4        1,2,3    None
virtualMachines  eastus       Standard_L24aos_v4        1,2,3    None
virtualMachines  eastus       Standard_L2aos_v4         1,2,3    None
virtualMachines  eastus       Standard_L32aos_v4        1,2,3    None
virtualMachines  eastus       Standard_L4aos_v4         1,2,3    None
virtualMachines  eastus       Standard_L8aos_v4         1,2,3    None
virtualMachines  eastus       Standard_M128             1,2,3    None
virtualMachines  eastus       Standard_M128-32ms        1,2,3    None
virtualMachines  eastus       Standard_M128-64bds_3_v3  1,2,3    None
virtualMachines  eastus       Standard_M128-64bds_v3    1,2,3    None
virtualMachines  eastus       Standard_M128-64bs_v3     1,2,3    None
virtualMachines  eastus       Standard_M128-64ms        1,2,3    None
virtualMachines  eastus       Standard_M128bds_3_v3     1,2,3    None
virtualMachines  eastus       Standard_M128bds_v3       1,2,3    None
virtualMachines  eastus       Standard_M128bs_v3        1,2,3    None
virtualMachines  eastus       Standard_M128dms_v2       1,2,3    None
virtualMachines  eastus       Standard_M128ds_v2        1,2,3    None
virtualMachines  eastus       Standard_M128m            1,2,3    None
virtualMachines  eastus       Standard_M128ms           1,2,3    None
virtualMachines  eastus       Standard_M128ms_v2        1,2,3    None
virtualMachines  eastus       Standard_M128s            1,2,3    None
virtualMachines  eastus       Standard_M128s_v2         1,2,3    None
virtualMachines  eastus       Standard_M12ds_v3         1,2,3    None
virtualMachines  eastus       Standard_M12s_v3          1,2,3    None
virtualMachines  eastus       Standard_M16-4ms          1,2,3    None
virtualMachines  eastus       Standard_M16-8ms          1,2,3    None
virtualMachines  eastus       Standard_M16bds_v3        1,2,3    None
virtualMachines  eastus       Standard_M16bs_v3         1,2,3    None
virtualMachines  eastus       Standard_M16ms            1,2,3    None
virtualMachines  eastus       Standard_M176-88bds_4_v3  1,2,3    None
virtualMachines  eastus       Standard_M176-88bds_v3    1,2,3    None
virtualMachines  eastus       Standard_M176-88bs_v3     1,2,3    None
virtualMachines  eastus       Standard_M176bds_4_v3     1,2,3    None
virtualMachines  eastus       Standard_M176bds_v3       1,2,3    None
virtualMachines  eastus       Standard_M176bs_v3        1,2,3    None
virtualMachines  eastus       Standard_M176ds_3_v3      1,2,3    None
virtualMachines  eastus       Standard_M176ds_4_v3      1,2,3    None
virtualMachines  eastus       Standard_M176s_3_v3       1,2,3    None
virtualMachines  eastus       Standard_M176s_4_v3       1,2,3    None
virtualMachines  eastus       Standard_M192idms_v2      1,2,3    None
virtualMachines  eastus       Standard_M192ids_v2       1,2,3    None
virtualMachines  eastus       Standard_M192ims_v2       1,2,3    None
virtualMachines  eastus       Standard_M192is_v2        1,2,3    None
virtualMachines  eastus       Standard_M208ms_v2        1,2,3    NotAvailableForSubscription, type: Zone, locations: eastus, zones: 2
virtualMachines  eastus       Standard_M208s_v2         1,2,3    NotAvailableForSubscription, type: Zone, locations: eastus, zones: 2
virtualMachines  eastus       Standard_M24ds_v3         1,2,3    None
virtualMachines  eastus       Standard_M24s_v3          1,2,3    None
virtualMachines  eastus       Standard_M32-16ms         1,2,3    None
virtualMachines  eastus       Standard_M32-8ms          1,2,3    None
virtualMachines  eastus       Standard_M32bds_v3        1,2,3    None
virtualMachines  eastus       Standard_M32bs_v3         1,2,3    None
virtualMachines  eastus       Standard_M32dms_v2        1,2,3    None
virtualMachines  eastus       Standard_M32ls            1,2,3    None
virtualMachines  eastus       Standard_M32ms            1,2,3    None
virtualMachines  eastus       Standard_M32ms_v2         1,2,3    None
virtualMachines  eastus       Standard_M32ts            1,2,3    None
virtualMachines  eastus       Standard_M416-208ms_v2    1,2,3    NotAvailableForSubscription, type: Zone, locations: eastus, zones: 2
virtualMachines  eastus       Standard_M416-208s_v2     1,2,3    NotAvailableForSubscription, type: Zone, locations: eastus, zones: 2
virtualMachines  eastus       Standard_M416bs_v3        2,3      None
virtualMachines  eastus       Standard_M416ds_10_v3     2,3      None
virtualMachines  eastus       Standard_M416ds_12_v3     2,3      None
virtualMachines  eastus       Standard_M416ds_6_v3      2,3      None
virtualMachines  eastus       Standard_M416ds_8_v3      2,3      None
virtualMachines  eastus       Standard_M416ds_9_v3      2,3      None
virtualMachines  eastus       Standard_M416ms_v2        1,2,3    NotAvailableForSubscription, type: Zone, locations: eastus, zones: 2
virtualMachines  eastus       Standard_M416s_10_v2      1,2,3    None
virtualMachines  eastus       Standard_M416s_10_v3      2,3      None
virtualMachines  eastus       Standard_M416s_12_v3      2,3      None
virtualMachines  eastus       Standard_M416s_6_v3       2,3      None
virtualMachines  eastus       Standard_M416s_8_v2       1,2,3    None
virtualMachines  eastus       Standard_M416s_8_v3       2,3      None
virtualMachines  eastus       Standard_M416s_9_v2       1,2,3    None
virtualMachines  eastus       Standard_M416s_9_v3       2,3      None
virtualMachines  eastus       Standard_M416s_v2         1,2,3    NotAvailableForSubscription, type: Zone, locations: eastus, zones: 2
virtualMachines  eastus       Standard_M48bds_v3        1,2,3    None
virtualMachines  eastus       Standard_M48bs_v3         1,2,3    None
virtualMachines  eastus       Standard_M48ds_1_v3       1,2,3    None
virtualMachines  eastus       Standard_M48s_1_v3        1,2,3    None
virtualMachines  eastus       Standard_M624ds_12_v3     2,3      None
virtualMachines  eastus       Standard_M624s_12_v3      2,3      None
virtualMachines  eastus       Standard_M64              1,2,3    None
virtualMachines  eastus       Standard_M64-16ms         1,2,3    None
virtualMachines  eastus       Standard_M64-32bds_1_v3   1,2,3    None
virtualMachines  eastus       Standard_M64-32ms         1,2,3    None
virtualMachines  eastus       Standard_M64bds_1_v3      1,2,3    None
virtualMachines  eastus       Standard_M64bds_v3        1,2,3    None
virtualMachines  eastus       Standard_M64bs_v3         1,2,3    None
virtualMachines  eastus       Standard_M64dms_v2        1,2,3    None
virtualMachines  eastus       Standard_M64ds_v2         1,2,3    None
virtualMachines  eastus       Standard_M64ls            1,2,3    None
virtualMachines  eastus       Standard_M64m             1,2,3    None
virtualMachines  eastus       Standard_M64ms            1,2,3    None
virtualMachines  eastus       Standard_M64ms_v2         1,2,3    None
virtualMachines  eastus       Standard_M64s             1,2,3    None
virtualMachines  eastus       Standard_M64s_v2          1,2,3    None
virtualMachines  eastus       Standard_M8-2ms           1,2,3    None
virtualMachines  eastus       Standard_M8-4ms           1,2,3    None
virtualMachines  eastus       Standard_M832ds_12_v3     2,3      None
virtualMachines  eastus       Standard_M832ids_16_v3    2,3      None
virtualMachines  eastus       Standard_M832is_16_v3     2,3      None
virtualMachines  eastus       Standard_M832s_12_v3      2,3      None
virtualMachines  eastus       Standard_M8ms             1,2,3    None
virtualMachines  eastus       Standard_M96-48bds_2_v3   1,2,3    None
virtualMachines  eastus       Standard_M96bds_2_v3      1,2,3    None
virtualMachines  eastus       Standard_M96bds_v3        1,2,3    None
virtualMachines  eastus       Standard_M96bs_v3         1,2,3    None
virtualMachines  eastus       Standard_M96ds_1_v3       1,2,3    None
virtualMachines  eastus       Standard_M96ds_2_v3       1,2,3    None
virtualMachines  eastus       Standard_M96s_1_v3        1,2,3    None
virtualMachines  eastus       Standard_M96s_2_v3        1,2,3    None
virtualMachines  eastus       Standard_NC12s_v3         1,2,3    NotAvailableForSubscription, type: Zone, locations: eastus, zones: 1,2,3
virtualMachines  eastus       Standard_NC16as_T4_v3     1,2,3    None
virtualMachines  eastus       Standard_NC24ads_A100_v4  2        NotAvailableForSubscription, type: Zone, locations: eastus, zones: 1,2,3
virtualMachines  eastus       Standard_NC24rs_v3        1,2,3    NotAvailableForSubscription, type: Zone, locations: eastus, zones: 1,2,3
virtualMachines  eastus       Standard_NC24s_v3         1,2,3    NotAvailableForSubscription, type: Zone, locations: eastus, zones: 1,2,3
virtualMachines  eastus       Standard_NC48ads_A100_v4  2        NotAvailableForSubscription, type: Zone, locations: eastus, zones: 1,2,3
virtualMachines  eastus       Standard_NC4as_T4_v3      1,2,3    None
virtualMachines  eastus       Standard_NC64as_T4_v3     1,2,3    None
virtualMachines  eastus       Standard_NC6s_v3          1,2,3    NotAvailableForSubscription, type: Zone, locations: eastus, zones: 1,2,3
virtualMachines  eastus       Standard_NC8as_T4_v3      1,2,3    None
virtualMachines  eastus       Standard_NC96ads_A100_v4  2        NotAvailableForSubscription, type: Zone, locations: eastus, zones: 1,2,3
virtualMachines  eastus       Standard_NV12ads_V710_v5  3        None
virtualMachines  eastus       Standard_NV24ads_V710_v5  3        None
virtualMachines  eastus       Standard_NV4ads_V710_v5   3        None
virtualMachines  eastus       Standard_NV8ads_V710_v5   3        None
